name	setting	unit	context	source	sourcefile	sourceline	pending_restart	boot_val	reset_val
ssl_cert_file	/etc/ssl/certs/ssl-cert-snakeoil.pem		sighup	configuration file			f	server.crt	/etc/ssl/certs/ssl-cert-snakeoil.pem
ssl_crl_dir			sighup	default			f		
ssl_crl_file			sighup	default			f		
ssl_key_file	/etc/ssl/private/ssl-cert-snakeoil.key		sighup	configuration file			f	server.key	/etc/ssl/private/ssl-cert-snakeoil.key
ssl_library	OpenSSL		internal	default			f	OpenSSL	OpenSSL
ssl_passphrase_command_supports_reload	off		sighup	default			f	off	off
ssl_prefer_server_ciphers	on		sighup	default			f	on	on
standard_conforming_strings	on		user	default			f	on	on
statement_timeout	0	ms	user	default			f	0	0
stats_fetch_consistency	cache		user	default			f	cache	cache
superuser_reserved_connections	3		postmaster	default			f	3	3
synchronize_seqscans	on		user	default			f	on	on
synchronous_commit	on		user	default			f	on	on
synchronous_standby_names			sighup	default			f		
syslog_facility	local0		sighup	default			f	local0	local0
syslog_ident	postgres		sighup	default			f	postgres	postgres
syslog_sequence_numbers	on		sighup	default			f	on	on
syslog_split_messages	on		sighup	default			f	on	on
tcp_keepalives_count	0		user	default			f	0	0
tcp_keepalives_idle	0	s	user	default			f	0	0
tcp_keepalives_interval	0	s	user	default			f	0	0
tcp_user_timeout	0	ms	user	default			f	0	0
temp_buffers	1024	8kB	user	default			f	1024	1024
temp_file_limit	-1	kB	superuser	default			f	-1	-1
temp_tablespaces			user	default			f		
TimeZone	Etc/UTC		user	configuration file			f	GMT	Etc/UTC
timezone_abbreviations	Default		user	default			f		Default
trace_notify	off		user	default			f	off	off
trace_recovery_messages	log		sighup	default			f	log	log
trace_sort	off		user	default			f	off	off
track_activities	on		superuser	default			f	on	on
track_activity_query_size	1024	B	postmaster	default			f	1024	1024
track_commit_timestamp	off		postmaster	default			f	off	off
track_counts	on		superuser	default			f	on	on
track_functions	none		superuser	default			f	none	none
track_io_timing	off		superuser	default			f	off	off
track_wal_io_timing	off		superuser	default			f	off	off
transaction_deferrable	off		user	override			f	off	off
transaction_isolation	read committed		user	override			f	read committed	read committed
transaction_read_only	off		user	override			f	off	off
transform_null_equals	off		user	default			f	off	off
unix_socket_group			postmaster	default			f		
unix_socket_permissions	0777		postmaster	default			f	511	511
update_process_title	on		superuser	default			f	on	on
vacuum_buffer_usage_limit	256	kB	user	default			f	256	256
vacuum_cost_delay	0	ms	user	default			f	0	0
vacuum_cost_limit	200		user	default			f	200	200
vacuum_cost_page_dirty	20		user	default			f	20	20
vacuum_cost_page_hit	1		user	default			f	1	1
vacuum_cost_page_miss	2		user	default			f	2	2
vacuum_failsafe_age	1600000000		user	default			f	1600000000	1600000000
vacuum_freeze_min_age	50000000		user	default			f	50000000	50000000
vacuum_freeze_table_age	150000000		user	default			f	150000000	150000000
vacuum_multixact_failsafe_age	1600000000		user	default			f	1600000000	1600000000
vacuum_multixact_freeze_min_age	5000000		user	default			f	5000000	5000000
vacuum_multixact_freeze_table_age	150000000		user	default			f	150000000	150000000
wal_block_size	8192		internal	default			f	8192	8192
wal_buffers	8192	8kB	postmaster	configuration file			f	-1	8192
wal_compression	off		superuser	default			f	off	off
wal_consistency_checking			superuser	default			f		
wal_decode_buffer_size	524288	B	postmaster	default			f	524288	524288
wal_init_zero	on		superuser	default			f	on	on
wal_keep_size	0	MB	sighup	default			f	0	0
wal_level	replica		postmaster	default			f	replica	replica
wal_log_hints	off		postmaster	default			f	off	off
wal_receiver_create_temp_slot	off		sighup	default			f	off	off
wal_receiver_status_interval	10	s	sighup	default			f	10	10
wal_receiver_timeout	60000	ms	sighup	default			f	60000	60000
wal_recycle	on		superuser	default			f	on	on
wal_retrieve_retry_interval	5000	ms	sighup	default			f	5000	5000
wal_segment_size	16777216	B	internal	default			f	16777216	16777216
wal_sender_timeout	60000	ms	user	default			f	60000	60000
wal_skip_threshold	2048	kB	user	default			f	2048	2048
wal_sync_method	fdatasync		sighup	default			f	fdatasync	fdatasync
wal_writer_delay	200	ms	sighup	default			f	200	200
wal_writer_flush_after	128	8kB	sighup	default			f	128	128
work_mem	262144	kB	user	configuration file			f	4096	262144
xmlbinary	base64		user	default			f	base64	base64
xmloption	content		user	default			f	content	content
zero_damaged_pages	off		superuser	default			f	off	off
(342 rows)
